Year,TeamName_2026,ConstructorNameThatSeason,Standing,Points,Wins,Podiums
2020,Aston Martin,Racing Point,4,195,1,3
2020,Cadillac,N/A - not on grid,N/A,N/A,N/A,N/A
2021,Mercedes,Mercedes,1,613.5,9,21
2021,Ferrari,Ferrari,3,323.5,0,8
2021,McLaren,McLaren,4,275,1,5
2021,Red Bull Racing,Red Bull Racing,2,585.5,11,20
2021,Racing Bulls,AlphaTauri,6,142,0,0
2021,Alpine,Alpine,5,155,1,1
2021,Haas,Haas,10,0,0,0
2021,Audi,N/A - not on grid,N/A,N/A,N/A,N/A
2021,Williams,Williams,8,23,0,0
2021,Aston Martin,Aston Martin,7,77,0,0
2021,Cadillac,N/A - not on grid,N/A,N/A,N/A,N/A
2022,Mercedes,Mercedes,3,515,1,17
2022,Ferrari,Ferrari,2,554,4,12
2022,McLaren,McLaren,5,159,0,1
2022,Red Bull Racing,Red Bull Racing,1,759,17,27
2022,Racing Bulls,AlphaTauri,9,35,0,0
2022,Alpine,Alpine,4,173,0,0
2022,Haas,Haas,8,37,0,0
2022,Audi,N/A - not on grid,N/A,N/A,N/A,N/A
2022,Williams,Williams,10,8,0,0
2022,Aston Martin,Aston Martin,7,55,0,0
2022,Cadillac,N/A - not on grid,N/A,N/A,N/A,N/A
2023,Mercedes,Mercedes,2,409,0,17
2023,Ferrari,Ferrari,3,406,1,13
2023,McLaren,McLaren,4,302,0,7
2023,Red Bull Racing,Red Bull Racing,1,860,21,30
2023,Racing Bulls,AlphaTauri,8,25,0,0
2023,Alpine,Alpine,6,120,0,0
2023,Haas,Haas,10,12,0,0
2023,Audi,N/A - not on grid,N/A,N/A,N/A,N/A
2023,Williams,Williams,7,28,0,0
2023,Aston Martin,Aston Martin,5,280,0,8
2023,Cadillac,N/A - not on grid,N/A,N/A,N/A,N/A
2024,Mercedes,Mercedes,4,468,4,15
2024,Ferrari,Ferrari,2,652,5,14
2024,McLaren,McLaren,1,666,6,18
2024,Red Bull Racing,Red Bull Racing,3,589,9,16
2024,Racing Bulls,RB,8,46,0,0
2024,Alpine,Alpine,6,65,0,0
2024,Haas,Haas,7,58,0,0
2024,Audi,N/A - not on grid (as Sauber, finished 10th with 4 points),N/A,N/A,N/A,N/A
2024,Williams,Williams,9,17,0,0
2024,Aston Martin,Aston Martin,5,94,0,0
2024,Cadillac,N/A - not on grid,N/A,N/A,N/A,N/A
2025,Mercedes,Mercedes,2,469,0,10
2025,Ferrari,Ferrari,4,398,0,8
2025,McLaren,McLaren,1,833,14,24
2025,Red Bull Racing,Red Bull Racing,3,451,5,14
2025,Racing Bulls,Racing Bulls,6,92,0,0
2025,Alpine,Alpine,10,22,0,0
2025,Haas,Haas,8,79,0,0
2025,Audi,N/A - not on grid (as Kick Sauber, finished 9th with 70 points),N/A,N/A,N/A,N/A
2025,Williams,Williams,5,137,0,2
2025,Aston Martin,Aston Martin,7,89,0,0
2025,Cadillac,N/A - not on grid (debuts 2026),N/A,N/A,N/A,N/A
