Circuit,First_GP,Laps,Circuit_Length_km,Race_Distance_km,Total_Races_Analyzed,Lap_Record,Lap_Record_Driver,Description,Entity_Type,Entity_Name,Win_Percent,Year,Avg_Lap_Time_Sec,DNF_Reason,DNF_Count
Suzuka International Racing Course,1987,53,5.807,307.471,20,1:30.983,Lewis Hamilton,A legendary figure-eight track loved by drivers for its challenging 'Esses' and the fearsome 130R corner.,Driver,Carlos Sainz,25.0,2017,78.19512920807495,Tyre,1
Suzuka International Racing Course,1987,53,5.807,307.471,20,1:30.983,Lewis Hamilton,A legendary figure-eight track loved by drivers for its challenging 'Esses' and the fearsome 130R corner.,Driver,Charles Leclerc,15.0,2019,70.80160855844602,Electrical,6
Suzuka International Racing Course,1987,53,5.807,307.471,20,1:30.983,Lewis Hamilton,A legendary figure-eight track loved by drivers for its challenging 'Esses' and the fearsome 130R corner.,Driver,Sergio Perez,10.0,2021,72.42295922304845,Tyre,6
Suzuka International Racing Course,1987,53,5.807,307.471,20,1:30.983,Lewis Hamilton,A legendary figure-eight track loved by drivers for its challenging 'Esses' and the fearsome 130R corner.,Constructor,Ferrari,60.0,2023,83.40518417403977,Electrical,7
Suzuka International Racing Course,1987,53,5.807,307.471,20,1:30.983,Lewis Hamilton,A legendary figure-eight track loved by drivers for its challenging 'Esses' and the fearsome 130R corner.,Constructor,Aston Martin,30.0,2025,96.3678572465249,Spun off,7
Suzuka International Racing Course,1987,53,5.807,307.471,20,1:30.983,Lewis Hamilton,A legendary figure-eight track loved by drivers for its challenging 'Esses' and the fearsome 130R corner.,Constructor,Red Bull,10.0,2015,79.45376921303955,Electrical,5
Shanghai International Circuit,2004,56,5.451,305.066,20,1:32.238,Michael Schumacher,"Features the unique, ever-tightening Turn 1 and a massive back straight. Very demanding on front tyres.",Driver,Carlos Sainz,50.0,2015,76.74882274476873,Electrical,7
Shanghai International Circuit,2004,56,5.451,305.066,20,1:32.238,Michael Schumacher,"Features the unique, ever-tightening Turn 1 and a massive back straight. Very demanding on front tyres.",Driver,Max Verstappen,25.0,2017,86.59807894356007,Tyre,8
Shanghai International Circuit,2004,56,5.451,305.066,20,1:32.238,Michael Schumacher,"Features the unique, ever-tightening Turn 1 and a massive back straight. Very demanding on front tyres.",Driver,Sebastian Vettel,15.0,2019,78.60729708774973,Electrical,8
Shanghai International Circuit,2004,56,5.451,305.066,20,1:32.238,Michael Schumacher,"Features the unique, ever-tightening Turn 1 and a massive back straight. Very demanding on front tyres.",Driver,Charles Leclerc,10.0,2021,91.60086998993744,Tyre,4
Shanghai International Circuit,2004,56,5.451,305.066,20,1:32.238,Michael Schumacher,"Features the unique, ever-tightening Turn 1 and a massive back straight. Very demanding on front tyres.",Constructor,Aston Martin,60.0,2023,74.5534093357549,Electrical,8
Shanghai International Circuit,2004,56,5.451,305.066,20,1:32.238,Michael Schumacher,"Features the unique, ever-tightening Turn 1 and a massive back straight. Very demanding on front tyres.",Constructor,McLaren,30.0,2025,97.93969664036352,Power Unit,4
Shanghai International Circuit,2004,56,5.451,305.066,20,1:32.238,Michael Schumacher,"Features the unique, ever-tightening Turn 1 and a massive back straight. Very demanding on front tyres.",Constructor,Mercedes,10.0,2015,82.3888720135453,Power Unit,7
Miami International Autodrome,2022,57,5.412,308.326,20,1:29.708,Max Verstappen,"Built around the Hard Rock Stadium, blending high-speed sweeps with a very tight, slow chicane section.",Driver,Carlos Sainz,50.0,2015,92.38005358178522,Gearbox,2
Miami International Autodrome,2022,57,5.412,308.326,20,1:29.708,Max Verstappen,"Built around the Hard Rock Stadium, blending high-speed sweeps with a very tight, slow chicane section.",Driver,Fernando Alonso,25.0,2017,87.27693488584788,Collision,8
Miami International Autodrome,2022,57,5.412,308.326,20,1:29.708,Max Verstappen,"Built around the Hard Rock Stadium, blending high-speed sweeps with a very tight, slow chicane section.",Driver,Sebastian Vettel,15.0,2019,99.82641492362302,Collision,5
Miami International Autodrome,2022,57,5.412,308.326,20,1:29.708,Max Verstappen,"Built around the Hard Rock Stadium, blending high-speed sweeps with a very tight, slow chicane section.",Driver,Charles Leclerc,10.0,2021,90.60079029310599,Electrical,7
Miami International Autodrome,2022,57,5.412,308.326,20,1:29.708,Max Verstappen,"Built around the Hard Rock Stadium, blending high-speed sweeps with a very tight, slow chicane section.",Constructor,McLaren,60.0,2023,96.62677985021735,Tyre,5
Miami International Autodrome,2022,57,5.412,308.326,20,1:29.708,Max Verstappen,"Built around the Hard Rock Stadium, blending high-speed sweeps with a very tight, slow chicane section.",Constructor,Ferrari,30.0,2025,91.22573249941254,Spun off,3
Miami International Autodrome,2022,57,5.412,308.326,20,1:29.708,Max Verstappen,"Built around the Hard Rock Stadium, blending high-speed sweeps with a very tight, slow chicane section.",Constructor,Mercedes,10.0,2015,84.49435715209744,Electrical,3
Autodromo Enzo e Dino Ferrari,1980,63,4.909,309.049,20,1:15.484,Lewis Hamilton,"Imola is an old-school, narrow, and fast track with unforgiving kerbs and deep F1 history.",Driver,Charles Leclerc,50.0,2015,91.91226511165218,Spun off,2
Autodromo Enzo e Dino Ferrari,1980,63,4.909,309.049,20,1:15.484,Lewis Hamilton,"Imola is an old-school, narrow, and fast track with unforgiving kerbs and deep F1 history.",Driver,Max Verstappen,25.0,2017,86.21438892933745,Collision,1
Autodromo Enzo e Dino Ferrari,1980,63,4.909,309.049,20,1:15.484,Lewis Hamilton,"Imola is an old-school, narrow, and fast track with unforgiving kerbs and deep F1 history.",Driver,Fernando Alonso,15.0,2019,76.79376905908225,Power Unit,7
Autodromo Enzo e Dino Ferrari,1980,63,4.909,309.049,20,1:15.484,Lewis Hamilton,"Imola is an old-school, narrow, and fast track with unforgiving kerbs and deep F1 history.",Driver,Lewis Hamilton,10.0,2021,103.43518217436147,Spun off,1
Autodromo Enzo e Dino Ferrari,1980,63,4.909,309.049,20,1:15.484,Lewis Hamilton,"Imola is an old-school, narrow, and fast track with unforgiving kerbs and deep F1 history.",Constructor,Mercedes,60.0,2023,96.07250317884092,Spun off,4
Autodromo Enzo e Dino Ferrari,1980,63,4.909,309.049,20,1:15.484,Lewis Hamilton,"Imola is an old-school, narrow, and fast track with unforgiving kerbs and deep F1 history.",Constructor,Aston Martin,30.0,2025,92.23058290246374,Hydraulics,4
Autodromo Enzo e Dino Ferrari,1980,63,4.909,309.049,20,1:15.484,Lewis Hamilton,"Imola is an old-school, narrow, and fast track with unforgiving kerbs and deep F1 history.",Constructor,Red Bull,10.0,2015,81.1144498761646,Power Unit,1
Circuit de Monaco,1950,78,3.337,260.286,20,1:12.909,Lewis Hamilton,The ultimate test of precision. A mistake here means the wall. The crown jewel of the Formula 1 calendar.,Driver,Sebastian Vettel,50.0,2015,75.52786602487741,Spun off,3
Circuit de Monaco,1950,78,3.337,260.286,20,1:12.909,Lewis Hamilton,The ultimate test of precision. A mistake here means the wall. The crown jewel of the Formula 1 calendar.,Driver,Fernando Alonso,25.0,2017,102.46633230306384,Tyre,6
Circuit de Monaco,1950,78,3.337,260.286,20,1:12.909,Lewis Hamilton,The ultimate test of precision. A mistake here means the wall. The crown jewel of the Formula 1 calendar.,Driver,Charles Leclerc,15.0,2019,96.83944592177139,Accident,3
Circuit de Monaco,1950,78,3.337,260.286,20,1:12.909,Lewis Hamilton,The ultimate test of precision. A mistake here means the wall. The crown jewel of the Formula 1 calendar.,Driver,Max Verstappen,10.0,2021,73.15027971265243,Power Unit,6
Circuit de Monaco,1950,78,3.337,260.286,20,1:12.909,Lewis Hamilton,The ultimate test of precision. A mistake here means the wall. The crown jewel of the Formula 1 calendar.,Constructor,Mercedes,60.0,2023,99.41846916543571,Gearbox,7
Circuit de Monaco,1950,78,3.337,260.286,20,1:12.909,Lewis Hamilton,The ultimate test of precision. A mistake here means the wall. The crown jewel of the Formula 1 calendar.,Constructor,McLaren,30.0,2025,99.83475557207835,Spun off,6
Circuit de Monaco,1950,78,3.337,260.286,20,1:12.909,Lewis Hamilton,The ultimate test of precision. A mistake here means the wall. The crown jewel of the Formula 1 calendar.,Constructor,Aston Martin,10.0,2015,93.69649582622874,Tyre,3
Circuit Gilles Villeneuve,1978,70,4.361,305.27,20,1:13.078,Valtteri Bottas,"Stop-start nature, heavy on brakes, featuring the infamous 'Wall of Champions' at the final chicane.",Driver,Charles Leclerc,50.0,2015,91.97093783590317,Gearbox,4
Circuit Gilles Villeneuve,1978,70,4.361,305.27,20,1:13.078,Valtteri Bottas,"Stop-start nature, heavy on brakes, featuring the infamous 'Wall of Champions' at the final chicane.",Driver,Sebastian Vettel,25.0,2017,102.54593162602018,Power Unit,6
Circuit Gilles Villeneuve,1978,70,4.361,305.27,20,1:13.078,Valtteri Bottas,"Stop-start nature, heavy on brakes, featuring the infamous 'Wall of Champions' at the final chicane.",Driver,Carlos Sainz,15.0,2019,91.535229512747,Tyre,4
Circuit Gilles Villeneuve,1978,70,4.361,305.27,20,1:13.078,Valtteri Bottas,"Stop-start nature, heavy on brakes, featuring the infamous 'Wall of Champions' at the final chicane.",Driver,Lewis Hamilton,10.0,2021,99.0396009792546,Hydraulics,5
Circuit Gilles Villeneuve,1978,70,4.361,305.27,20,1:13.078,Valtteri Bottas,"Stop-start nature, heavy on brakes, featuring the infamous 'Wall of Champions' at the final chicane.",Constructor,McLaren,60.0,2023,96.41830008719107,Electrical,5
Circuit Gilles Villeneuve,1978,70,4.361,305.27,20,1:13.078,Valtteri Bottas,"Stop-start nature, heavy on brakes, featuring the infamous 'Wall of Champions' at the final chicane.",Constructor,Mercedes,30.0,2025,79.43193187838807,Collision,1
Circuit Gilles Villeneuve,1978,70,4.361,305.27,20,1:13.078,Valtteri Bottas,"Stop-start nature, heavy on brakes, featuring the infamous 'Wall of Champions' at the final chicane.",Constructor,Aston Martin,10.0,2015,97.85525018028272,Gearbox,2
Circuit de Barcelona-Catalunya,1991,66,4.657,307.236,20,1:16.330,Max Verstappen,The ultimate test track. Its mix of high and low-speed corners perfectly measures a car's aerodynamic efficiency.,Driver,Max Verstappen,50.0,2015,86.78166223916651,Electrical,3
Circuit de Barcelona-Catalunya,1991,66,4.657,307.236,20,1:16.330,Max Verstappen,The ultimate test track. Its mix of high and low-speed corners perfectly measures a car's aerodynamic efficiency.,Driver,Charles Leclerc,25.0,2017,77.86241939157907,Power Unit,6
Circuit de Barcelona-Catalunya,1991,66,4.657,307.236,20,1:16.330,Max Verstappen,The ultimate test track. Its mix of high and low-speed corners perfectly measures a car's aerodynamic efficiency.,Driver,Carlos Sainz,15.0,2019,73.48401328623203,Gearbox,7
Circuit de Barcelona-Catalunya,1991,66,4.657,307.236,20,1:16.330,Max Verstappen,The ultimate test track. Its mix of high and low-speed corners perfectly measures a car's aerodynamic efficiency.,Driver,Lewis Hamilton,10.0,2021,79.90315410012099,Hydraulics,1
Circuit de Barcelona-Catalunya,1991,66,4.657,307.236,20,1:16.330,Max Verstappen,The ultimate test track. Its mix of high and low-speed corners perfectly measures a car's aerodynamic efficiency.,Constructor,Mercedes,60.0,2023,80.03870899372095,Electrical,4
Circuit de Barcelona-Catalunya,1991,66,4.657,307.236,20,1:16.330,Max Verstappen,The ultimate test track. Its mix of high and low-speed corners perfectly measures a car's aerodynamic efficiency.,Constructor,Ferrari,30.0,2025,77.09010919247248,Hydraulics,3
Circuit de Barcelona-Catalunya,1991,66,4.657,307.236,20,1:16.330,Max Verstappen,The ultimate test track. Its mix of high and low-speed corners perfectly measures a car's aerodynamic efficiency.,Constructor,Aston Martin,10.0,2015,87.50283132645825,Power Unit,2
Red Bull Ring,1970,71,4.318,306.452,20,1:05.619,Carlos Sainz,"A short, fast lap set in the Styrian mountains. Features aggressive elevation changes and just 10 corners.",Driver,Lewis Hamilton,50.0,2015,70.24773349942947,Collision,3
Red Bull Ring,1970,71,4.318,306.452,20,1:05.619,Carlos Sainz,"A short, fast lap set in the Styrian mountains. Features aggressive elevation changes and just 10 corners.",Driver,Charles Leclerc,25.0,2017,84.77209886091944,Spun off,7
Red Bull Ring,1970,71,4.318,306.452,20,1:05.619,Carlos Sainz,"A short, fast lap set in the Styrian mountains. Features aggressive elevation changes and just 10 corners.",Driver,Sergio Perez,15.0,2019,86.38111766624314,Gearbox,1
Red Bull Ring,1970,71,4.318,306.452,20,1:05.619,Carlos Sainz,"A short, fast lap set in the Styrian mountains. Features aggressive elevation changes and just 10 corners.",Driver,Sebastian Vettel,10.0,2021,98.85921462242489,Electrical,3
Red Bull Ring,1970,71,4.318,306.452,20,1:05.619,Carlos Sainz,"A short, fast lap set in the Styrian mountains. Features aggressive elevation changes and just 10 corners.",Constructor,McLaren,60.0,2023,88.46012170881939,Collision,1
Red Bull Ring,1970,71,4.318,306.452,20,1:05.619,Carlos Sainz,"A short, fast lap set in the Styrian mountains. Features aggressive elevation changes and just 10 corners.",Constructor,Red Bull,30.0,2025,87.28694077997648,Spun off,5
Red Bull Ring,1970,71,4.318,306.452,20,1:05.619,Carlos Sainz,"A short, fast lap set in the Styrian mountains. Features aggressive elevation changes and just 10 corners.",Constructor,Aston Martin,10.0,2015,76.8084870116308,Electrical,1
Silverstone Circuit,1950,52,5.891,306.198,20,1:27.097,Max Verstappen,"The birthplace of F1. A high-speed aerodynamic test featuring the iconic Maggotts, Becketts, and Chapel sequence.",Driver,Lewis Hamilton,50.0,2015,76.5230286345594,Spun off,6
Silverstone Circuit,1950,52,5.891,306.198,20,1:27.097,Max Verstappen,"The birthplace of F1. A high-speed aerodynamic test featuring the iconic Maggotts, Becketts, and Chapel sequence.",Driver,Sergio Perez,25.0,2017,93.7137629888323,Tyre,7
Silverstone Circuit,1950,52,5.891,306.198,20,1:27.097,Max Verstappen,"The birthplace of F1. A high-speed aerodynamic test featuring the iconic Maggotts, Becketts, and Chapel sequence.",Driver,Charles Leclerc,15.0,2019,73.82927307060669,Gearbox,4
Silverstone Circuit,1950,52,5.891,306.198,20,1:27.097,Max Verstappen,"The birthplace of F1. A high-speed aerodynamic test featuring the iconic Maggotts, Becketts, and Chapel sequence.",Driver,Fernando Alonso,10.0,2021,82.17698647859777,Tyre,4
Silverstone Circuit,1950,52,5.891,306.198,20,1:27.097,Max Verstappen,"The birthplace of F1. A high-speed aerodynamic test featuring the iconic Maggotts, Becketts, and Chapel sequence.",Constructor,Mercedes,60.0,2023,93.65306371433769,Power Unit,3
Silverstone Circuit,1950,52,5.891,306.198,20,1:27.097,Max Verstappen,"The birthplace of F1. A high-speed aerodynamic test featuring the iconic Maggotts, Becketts, and Chapel sequence.",Constructor,McLaren,30.0,2025,99.21860316911437,Hydraulics,5
Silverstone Circuit,1950,52,5.891,306.198,20,1:27.097,Max Verstappen,"The birthplace of F1. A high-speed aerodynamic test featuring the iconic Maggotts, Becketts, and Chapel sequence.",Constructor,Ferrari,10.0,2015,70.95963480280838,Tyre,1
Hungaroring,1986,70,4.381,306.63,20,1:16.627,Lewis Hamilton,"Often described as 'Monaco without the walls'. Tight, twisty, and difficult to overtake on, requiring high downforce.",Driver,Sergio Perez,50.0,2015,74.55883656122651,Spun off,3
Hungaroring,1986,70,4.381,306.63,20,1:16.627,Lewis Hamilton,"Often described as 'Monaco without the walls'. Tight, twisty, and difficult to overtake on, requiring high downforce.",Driver,Max Verstappen,25.0,2017,82.77822711984363,Collision,3
Hungaroring,1986,70,4.381,306.63,20,1:16.627,Lewis Hamilton,"Often described as 'Monaco without the walls'. Tight, twisty, and difficult to overtake on, requiring high downforce.",Driver,Fernando Alonso,15.0,2019,73.32423109480142,Electrical,7
Hungaroring,1986,70,4.381,306.63,20,1:16.627,Lewis Hamilton,"Often described as 'Monaco without the walls'. Tight, twisty, and difficult to overtake on, requiring high downforce.",Driver,Charles Leclerc,10.0,2021,87.52283799803367,Hydraulics,6
Hungaroring,1986,70,4.381,306.63,20,1:16.627,Lewis Hamilton,"Often described as 'Monaco without the walls'. Tight, twisty, and difficult to overtake on, requiring high downforce.",Constructor,Aston Martin,60.0,2023,100.97273171225231,Spun off,6
Hungaroring,1986,70,4.381,306.63,20,1:16.627,Lewis Hamilton,"Often described as 'Monaco without the walls'. Tight, twisty, and difficult to overtake on, requiring high downforce.",Constructor,McLaren,30.0,2025,75.34003074986173,Hydraulics,7
Hungaroring,1986,70,4.381,306.63,20,1:16.627,Lewis Hamilton,"Often described as 'Monaco without the walls'. Tight, twisty, and difficult to overtake on, requiring high downforce.",Constructor,Mercedes,10.0,2015,100.22076696164888,Hydraulics,5
Circuit de Spa-Francorchamps,1950,44,7.004,308.052,20,1:46.286,Valtteri Bottas,The longest track on the calendar. Loved for Eau Rouge/Raidillon and its unpredictable microclimate.,Driver,Sergio Perez,50.0,2015,83.39956357374304,Hydraulics,3
Circuit de Spa-Francorchamps,1950,44,7.004,308.052,20,1:46.286,Valtteri Bottas,The longest track on the calendar. Loved for Eau Rouge/Raidillon and its unpredictable microclimate.,Driver,Fernando Alonso,25.0,2017,100.94265424941676,Power Unit,7
Circuit de Spa-Francorchamps,1950,44,7.004,308.052,20,1:46.286,Valtteri Bottas,The longest track on the calendar. Loved for Eau Rouge/Raidillon and its unpredictable microclimate.,Driver,Charles Leclerc,15.0,2019,83.21075529801746,Collision,3
Circuit de Spa-Francorchamps,1950,44,7.004,308.052,20,1:46.286,Valtteri Bottas,The longest track on the calendar. Loved for Eau Rouge/Raidillon and its unpredictable microclimate.,Driver,Carlos Sainz,10.0,2021,89.86917211772227,Accident,4
Circuit de Spa-Francorchamps,1950,44,7.004,308.052,20,1:46.286,Valtteri Bottas,The longest track on the calendar. Loved for Eau Rouge/Raidillon and its unpredictable microclimate.,Constructor,McLaren,60.0,2023,84.78737824860153,Accident,7
Circuit de Spa-Francorchamps,1950,44,7.004,308.052,20,1:46.286,Valtteri Bottas,The longest track on the calendar. Loved for Eau Rouge/Raidillon and its unpredictable microclimate.,Constructor,Ferrari,30.0,2025,80.29674287546109,Collision,8
Circuit de Spa-Francorchamps,1950,44,7.004,308.052,20,1:46.286,Valtteri Bottas,The longest track on the calendar. Loved for Eau Rouge/Raidillon and its unpredictable microclimate.,Constructor,Aston Martin,10.0,2015,89.70452114726262,Hydraulics,6
Circuit Zandvoort,1952,72,4.259,306.587,20,1:11.097,Lewis Hamilton,A rolling rollercoaster in the sand dunes. Famous for its steep banked corners at Turn 3 and the final turn.,Driver,Carlos Sainz,50.0,2015,75.54997866935078,Collision,7
Circuit Zandvoort,1952,72,4.259,306.587,20,1:11.097,Lewis Hamilton,A rolling rollercoaster in the sand dunes. Famous for its steep banked corners at Turn 3 and the final turn.,Driver,Fernando Alonso,25.0,2017,86.35137338504684,Collision,2
Circuit Zandvoort,1952,72,4.259,306.587,20,1:11.097,Lewis Hamilton,A rolling rollercoaster in the sand dunes. Famous for its steep banked corners at Turn 3 and the final turn.,Driver,Sergio Perez,15.0,2019,80.44307877397239,Power Unit,5
Circuit Zandvoort,1952,72,4.259,306.587,20,1:11.097,Lewis Hamilton,A rolling rollercoaster in the sand dunes. Famous for its steep banked corners at Turn 3 and the final turn.,Driver,Max Verstappen,10.0,2021,83.92680756599472,Collision,1
Circuit Zandvoort,1952,72,4.259,306.587,20,1:11.097,Lewis Hamilton,A rolling rollercoaster in the sand dunes. Famous for its steep banked corners at Turn 3 and the final turn.,Constructor,Mercedes,60.0,2023,77.61909887126872,Spun off,7
Circuit Zandvoort,1952,72,4.259,306.587,20,1:11.097,Lewis Hamilton,A rolling rollercoaster in the sand dunes. Famous for its steep banked corners at Turn 3 and the final turn.,Constructor,McLaren,30.0,2025,97.69832953541626,Collision,1
Circuit Zandvoort,1952,72,4.259,306.587,20,1:11.097,Lewis Hamilton,A rolling rollercoaster in the sand dunes. Famous for its steep banked corners at Turn 3 and the final turn.,Constructor,Aston Martin,10.0,2015,76.42872271846267,Tyre,3
Autodromo Nazionale Monza,1950,53,5.793,306.72,20,1:21.046,Rubens Barrichello,The Temple of Speed. Long straights and heavy braking zones demand the lowest downforce setups of the year.,Driver,Lewis Hamilton,50.0,2015,97.180947071096,Collision,5
Autodromo Nazionale Monza,1950,53,5.793,306.72,20,1:21.046,Rubens Barrichello,The Temple of Speed. Long straights and heavy braking zones demand the lowest downforce setups of the year.,Driver,Charles Leclerc,25.0,2017,81.2952291415702,Spun off,1
Autodromo Nazionale Monza,1950,53,5.793,306.72,20,1:21.046,Rubens Barrichello,The Temple of Speed. Long straights and heavy braking zones demand the lowest downforce setups of the year.,Driver,Carlos Sainz,15.0,2019,88.90769683237704,Accident,7
Autodromo Nazionale Monza,1950,53,5.793,306.72,20,1:21.046,Rubens Barrichello,The Temple of Speed. Long straights and heavy braking zones demand the lowest downforce setups of the year.,Driver,Sebastian Vettel,10.0,2021,93.74090030323315,Hydraulics,6
Autodromo Nazionale Monza,1950,53,5.793,306.72,20,1:21.046,Rubens Barrichello,The Temple of Speed. Long straights and heavy braking zones demand the lowest downforce setups of the year.,Constructor,McLaren,60.0,2023,77.2072158649991,Tyre,5
Autodromo Nazionale Monza,1950,53,5.793,306.72,20,1:21.046,Rubens Barrichello,The Temple of Speed. Long straights and heavy braking zones demand the lowest downforce setups of the year.,Constructor,Red Bull,30.0,2025,103.26939474141724,Tyre,1
Autodromo Nazionale Monza,1950,53,5.793,306.72,20,1:21.046,Rubens Barrichello,The Temple of Speed. Long straights and heavy braking zones demand the lowest downforce setups of the year.,Constructor,Aston Martin,10.0,2015,100.13705821473174,Gearbox,7
Baku City Circuit,2016,51,6.003,306.049,20,1:43.009,Charles Leclerc,Combines a massive 2km straight with a painfully narrow section through the medieval Old City walls.,Driver,Sebastian Vettel,50.0,2015,99.80528268388426,Hydraulics,5
Baku City Circuit,2016,51,6.003,306.049,20,1:43.009,Charles Leclerc,Combines a massive 2km straight with a painfully narrow section through the medieval Old City walls.,Driver,Carlos Sainz,25.0,2017,96.50662287260333,Gearbox,5
Baku City Circuit,2016,51,6.003,306.049,20,1:43.009,Charles Leclerc,Combines a massive 2km straight with a painfully narrow section through the medieval Old City walls.,Driver,Max Verstappen,15.0,2019,92.3736284324673,Tyre,7
Baku City Circuit,2016,51,6.003,306.049,20,1:43.009,Charles Leclerc,Combines a massive 2km straight with a painfully narrow section through the medieval Old City walls.,Driver,Lewis Hamilton,10.0,2021,89.79494415106251,Power Unit,6
Baku City Circuit,2016,51,6.003,306.049,20,1:43.009,Charles Leclerc,Combines a massive 2km straight with a painfully narrow section through the medieval Old City walls.,Constructor,McLaren,60.0,2023,72.280570132462,Hydraulics,2
